ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
2463,Union Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,7.50%,75
2462,Pivo Pils,Firestone Walker Brewing Company,"Paso Robles, CA",German Pilsener,12 oz.,5.30%,N/A
2461,Autumn Winds Fest Beer,Grey Sail Brewing Company,"Westerly, RI",Märzen / Oktoberfest,16 oz,5.80%,N/A
2460,India Pale Ale,Kirkwood Station Brewing Company,"Kirkwood, MO",American IPA,16 oz.,6.30%,65
2459,Blackberry Wheat,Kirkwood Station Brewing Company,"Kirkwood, MO",American Pale Wheat Ale,16 oz.,4.80%,11
2458,Chupahopra,Twisted X Brewing Company,"Dripping Springs, TX",American IPA,12 oz.,7.50%,63
2457,312 Urban Pale Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.40%,30
2456,Broad Brook Ale,Broad Brook Brewing LLC,"East Windsor, CT",American Amber / Red Ale,16 oz.,6.10%,N/A
2455,Lionshead,The Lion Brewery,"Wilkes-Barre, PA",American Pilsner,12 oz.,4.50%,N/A
2454,Galaxy High,Madtree Brewing Company,"Cincinnati, OH",American Double / Imperial IPA,12 oz.,9.90%,N/A
2453,Razz Wheat,Jackie O's Pub & Brewery,"Athens, OH",Fruit / Vegetable Beer,12 oz.,5.50%,N/A
2452,Hustle,Rhinegeist Brewery,"Cincinnati, OH",American Amber / Red Ale,12 oz.,5.70%,42
2451,Pure Fury,Rhinegeist Brewery,"Cincinnati, OH",American Pale Ale (APA),12 oz.,5.50%,42
2450,Self Starter,Warped Wing Brewing Company,"Dayton, OH",American IPA,16 oz.,5.20%,67
2449,Flying Sailor,Blackrocks Brewery,"Marquette, MA",Rye Beer,12 oz.,7.30%,N/A
2448,Reactor,Tapistry Brewing,"Bridgman, MI",American IPA,16 oz.,7.00%,N/A
2447,Mr. Orange,Tapistry Brewing,"Bridgman, MI",Witbier,16 oz.,5.70%,N/A
2446,Peanut Butter Jelly Time,Catawba Valley Brewing Company,"Morganton, NC",American Brown Ale,12 oz.,5.80%,N/A
2445,Troegenator,Tröegs Brewing Company,"Hershey, PA",Doppelbock,16 oz.,8.20%,N/A
2444,Nugget Nectar,Tröegs Brewing Company,"Hershey, PA",American Amber / Red Ale,16 oz.,7.50%,93
2443,Abigale,Sixpoint Craft Ales,"Brooklyn, NY",Belgian Pale Ale,12 oz.,8.00%,N/A
2442,Cortez Gold,Mission Brewery,"San Diego, CA",Belgian Pale Ale,32 oz.,5.00%,N/A
2441,Mission IPA,Mission Brewery,"San Diego, CA",American IPA,32 oz.,6.80%,66
